SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-5-2014,Single Family Residential,5342 Miles Ave,Oakland,CA,94618-1126,1075000,2,2.0,Rockridge,1211,3800,1912,1040,888,,Sold,,,http://www.redfin.com/CA/Oakland/5342-Miles-Ave-94618/home/530455,EBRD/CCAR/Bay East,40665001,N,Y,37.840997,-122.256542
PAST SALE,,Single Family Residential,6150 Margarido Dr,Oakland,CA,94618,615000,2,3.0,,2487,9520,1933,,247,,,,,http://www.redfin.com/CA/Oakland/6150-Margarido-Dr-94618/home/1457312,,,N,Y,37.8478056,-122.242946
PAST SALE,,Single Family Residential,6009 Auburn Ave,Oakland,CA,94618,1159000,3,2.0,,1762,3500,1908,,658,,,,,http://www.redfin.com/CA/Oakland/6009-Auburn-Ave-94618/home/910640,,,N,Y,37.8493154,-122.2509192
PAST SALE,November-14-2014,Single Family Residential,6122 S Rockridge Blvd,Oakland,CA,94618-1861,1760000,3,2.5,Rockridge,1855,12375,1916,939,949,,Sold,,,http://www.redfin.com/CA/Oakland/6122-S-Rockridge-Blvd-94618/home/608685,EBRD/CCAR/Bay East,40676710,N,Y,37.845523,-122.242218
PAST SALE,December-20-2015,Single Family Residential,321 HUDSON St,Oakland,CA,94618,1088500,2,1.0,Rockridge,1242,3080,1909,538,876,,Sold,,,http://www.redfin.com/CA/Oakland/321-Hudson-St-94618/home/1432081,EBRD/CCAR/Bay East,40720752,N,Y,37.8401242,-122.2521119
PAST SALE,,Single Family Residential,5332 Lawton Ave,Oakland,CA,94618,600000,2,1.0,,1304,4000,1912,,460,,,,,http://www.redfin.com/CA/Oakland/5332-Lawton-Ave-94618/home/1242662,,,N,Y,37.8395345,-122.2536198
PAST SALE,December-26-2016,Condo/Co-op,5400 Broadway Ter #104,Oakland,CA,94618,850000,2,2.0,Upper Rockridge,1250,,1962,166,680,436,Sold,,,http://www.redfin.com/CA/Oakland/5400-Broadway-Ter-94618/unit-104/home/12116985,EBRD/CCAR/Bay East,40764164,N,Y,37.8385728,-122.2465372
PAST SALE,December-19-2014,Condo/Co-op,5351 BELGRAVE Pl Unit 1A,Oakland,CA,94618-1700,424000,1,1.0,Broadway Terrace,764,,1979,904,555,268,Sold,,,http://www.redfin.com/CA/Oakland/5351-Belgrave-Pl-94618/unit-1A/home/104067881,EBRD/CCAR/Bay East,40674954,N,Y,37.8377843,-122.248511
PAST SALE,July-27-2016,Condo/Co-op,5416 BROADWAY #2,Oakland,CA,94618,710000,2,2.0,Rockridge,1161,,1979,318,612,250,Sold,,,http://www.redfin.com/CA/Oakland/5416-Broadway-94618/unit-2/home/1758623,EBRD/CCAR/Bay East,40745450,N,Y,37.839477,-122.248855
PAST SALE,July-2-2014,Single Family Residential,6051 MONROE Ave,Oakland,CA,94618-1763,990000,3,2.5,Rockridge,1624,4135,1924,1074,610,,Sold,,,http://www.redfin.com/CA/Oakland/6051-Monroe-Ave-94618/home/1970918,EBRD/CCAR/Bay East,40664364,N,Y,37.8407395,-122.2466858
PAST SALE,March-28-2016,Single Family Residential,6602 CHABOT Rd,Oakland,CA,94618,1900000,3,2.5,Rockridge,,4000,1916,439,,,Sold,,,http://www.redfin.com/CA/Oakland/6602-Chabot-Rd-94618/home/1590185,EBRD/CCAR/Bay East,40730073,N,Y,37.8497541,-122.2447062
PAST SALE,March-14-2016,Single Family Residential,5922 ACACIA Ave,Oakland,CA,94618,2325000,4,3.5,Upper Rockridge,4600,6960,1994,453,505,,Sold,,,http://www.redfin.com/CA/Oakland/5922-Acacia-Ave-94618/home/1911208,EBRD/CCAR/Bay East,40728468,N,Y,37.8440781,-122.2411518
PAST SALE,September-24-2014,Single Family Residential,5668 BROADWAY,Oakland,CA,94618-1570,900000,2,1.0,Oakland,1399,4316,1923,990,643,,Sold,,,http://www.redfin.com/CA/Oakland/5668-Broadway-94618/home/603251,EBRD/CCAR/Bay East,40670020,N,Y,37.8428256,-122.2468406
PAST SALE,July-23-2014,Single Family Residential,6023 Ocean Vw,Oakland,CA,94618-1844,1485000,4,3.5,Rockridge,2693,3465,1924,1053,551,,Sold,,,http://www.redfin.com/CA/Oakland/6023-Ocean-View-Dr-94618/home/1843894,EBRD/CCAR/Bay East,40662884,N,Y,37.8464745,-122.2432711
PAST SALE,,Single Family Residential,5326 James Ave,Oakland,CA,94618,1240000,2,1.0,,1240,4000,1916,,1000,,,,,http://www.redfin.com/CA/Oakland/5326-James-Ave-94618/home/530431,,,N,Y,37.8389861,-122.2530386
PAST SALE,February-3-2016,Vacant Land,70 ROBLE Rd,Oakland,CA,94618-19,325000,,,Oakland,,17659,,493,,,Sold,,,http://www.redfin.com/CA/Oakland/70-Roble-Rd-94618/home/17184800,EBRD/CCAR/Bay East,40671962,N,Y,37.851498,-122.2359312
PAST SALE,August-30-2016,Single Family Residential,5310 LAWTON Ave,Oakland,CA,94618,1900000,3,2.0,Rockridge,1952,4000,1912,284,973,,Sold,,,http://www.redfin.com/CA/Oakland/5310-Lawton-Ave-94618/home/1903906,EBRD/CCAR/Bay East,40750013,N,Y,37.8390838,-122.2539863
PAST SALE,November-5-2015,Single Family Residential,340 FOREST St,Oakland,CA,94618,1250000,3,2.5,Prime Rockridge,1972,2298,1911,583,634,,Sold,,,http://www.redfin.com/CA/Oakland/340-Forest-St-94618/home/1495186,EBRD/CCAR/Bay East,40715751,N,Y,37.8431285,-122.2526895
PAST SALE,December-23-2016,Single Family Residential,5641 Miles Ave,Oakland,CA,94618,1275000,3,2.0,Rockridge,1466,6000,1914,169,870,,Sold,,,http://www.redfin.com/CA/Oakland/5641-Miles-Ave-94618/home/529736,EBRD/CCAR/Bay East,40763599,N,Y,37.844532,-122.253975
PAST SALE,August-4-2014,Single Family Residential,5339 THOMAS Ave,Oakland,CA,94618-1433,1210000,4,2.0,Rockridge,2484,4000,1922,1041,487,,Sold,,,http://www.redfin.com/CA/Oakland/5339-Thomas-Ave-94618/home/1564571,EBRD/CCAR/Bay East,40665071,N,Y,37.8379443,-122.2493652
PAST SALE,November-4-2016,Single Family Residential,5669 OCEAN VIEW Dr,Oakland,CA,94618,2000000,4,3.0,Prime Rockridge,2784,4250,1910,218,718,,Sold,,,http://www.redfin.com/CA/Oakland/5669-Ocean-View-Dr-94618/home/1341859,EBRD/CCAR/Bay East,40754748,N,Y,37.843894,-122.249449
PAST SALE,March-2-2017,Single Family Residential,5509 Kales Ave,Oakland,CA,94618,1300000,2,2.0,Oakland,1290,,1911,100,1008,,Sold,,,http://www.redfin.com/CA/Oakland/5509-Kales-Ave-94618/home/1588338,San Francisco MLS,454085,N,Y,37.8414073,-122.2494984
PAST SALE,July-3-2014,Single Family Residential,5451 LAWTON Ave,Oakland,CA,94618-1109,955359,2,1.0,Rockridge,1532,4000,1911,1073,624,,Sold,,,http://www.redfin.com/CA/Oakland/5451-Lawton-Ave-94618/home/1285728,EBRD/CCAR/Bay East,40660302,N,Y,37.8421054,-122.2521883
PAST SALE,October-24-2014,Single Family Residential,6401 Brookside Ave,Oakland,CA,94618,1200000,3,3.5,Upper Rockridge,1957,2066,1994,960,613,,Sold,,,http://www.redfin.com/CA/Oakland/6401-Brookside-Ave-94618/home/604920,EBRD/CCAR/Bay East,40675081,N,Y,37.8462178,-122.2383049
PAST SALE,April-1-2016,Single Family Residential,11 Reata Pl,Oakland,CA,94618,1350000,3,3.0,Rockridge,2465,6992,1955,435,548,,Sold,,,http://www.redfin.com/CA/Oakland/11-Reata-Pl-94618/home/1041836,EBRD/CCAR/Bay East,40730455,N,Y,37.8510877,-122.2414512
PAST SALE,,Single Family Residential,120 Roble Rd,Oakland,CA,94618,1050000,2,2.0,,2208,26737,2000,,476,,,,,http://www.redfin.com/CA/Oakland/120-Roble-Rd-94618/home/1987341,,,N,Y,37.851239,-122.236768
PAST SALE,November-3-2015,Single Family Residential,6051 MARGARIDO Dr,Oakland,CA,94618,2000000,5,3.5,Claremont Pines,4283,8625,1925,585,467,,Sold,,,http://www.redfin.com/CA/Oakland/6051-Margarido-Dr-94618/home/1001747,EBRD/CCAR/Bay East,40714605,N,Y,37.8466534,-122.2419366
