SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-4-2015,Single Family Residential,1721 TRESTLE GLEN Rd,Oakland,CA,94610,1300000,6,4.0,Crocker Hghlands,3410,10900,1990,676,381,,Sold,,,http://www.redfin.com/CA/Oakland/1721-Trestle-Glen-Rd-94610/home/536654,EBRD/CCAR/Bay East,40700646,N,Y,37.8130906,-122.2209268
PAST SALE,September-8-2016,Single Family Residential,645 SANTA RAY Ave,Oakland,CA,94610,1075000,3,1.5,Crocker Hghlands,1793,4056,1910,275,600,,Sold,,,http://www.redfin.com/CA/Oakland/645-Santa-Ray-Ave-94610/home/1586520,EBRD/CCAR/Bay East,40749229,Y,Y,37.8111891,-122.2395194
PAST SALE,June-12-2015,Single Family Residential,946 Wawona,Oakland,CA,94610,935000,3,2.5,Crocker Hghlands,2293,3320,1925,729,408,,Sold,,,http://www.redfin.com/CA/Oakland/946-Wawona-Ave-94610/home/526613,EBRD/CCAR/Bay East,40696315,N,Y,37.8151802,-122.2290483
PAST SALE,June-10-2015,Single Family Residential,1362 TRESTLE GLEN Rd,Oakland,CA,94610,1325000,4,2.0,Crocker Hghlands,2530,6588,1920,731,524,14,Sold,,,http://www.redfin.com/CA/Oakland/1362-Trestle-Glen-Rd-94610/home/536376,EBRD/CCAR/Bay East,40698036,N,Y,37.808415,-122.227502
PAST SALE,November-6-2015,Single Family Residential,1289 BATES Rd,Oakland,CA,94610,920000,3,2.0,Crocker Hghlands,1424,4920,1936,582,646,14,Sold,,,http://www.redfin.com/CA/Oakland/1289-Bates-Rd-94610/home/1422053,EBRD/CCAR/Bay East,40715265,Y,Y,37.8060571,-122.2287584
PAST SALE,November-10-2015,Single Family Residential,1052 HUBERT Rd,Oakland,CA,94610,1470000,3,1.5,Crocker Hghlands,1878,5096,1925,578,783,14,Sold,,,http://www.redfin.com/CA/Oakland/1052-Hubert-Rd-94610/home/1076861,EBRD/CCAR/Bay East,40718690,N,Y,37.8097084,-122.2287023
PAST SALE,April-27-2016,Single Family Residential,918 UNDERHILLS Rd,Oakland,CA,94610,975000,3,1.0,Crocker Hghlands,1540,5096,1923,409,633,14,Sold,,,http://www.redfin.com/CA/Oakland/918-Underhills-Rd-94610/home/1756279,EBRD/CCAR/Bay East,40738146,N,Y,37.8081127,-122.2300567
PAST SALE,September-17-2014,Single Family Residential,865 ROSEMOUNT Rd,Oakland,CA,94610-2408,1471000,4,3.5,Crocker Hghlands,2569,6136,1920,997,573,14,Sold,,,http://www.redfin.com/CA/Oakland/865-Rosemount-Rd-94610/home/1523344,EBRD/CCAR/Bay East,40669867,N,Y,37.8086536,-122.2351182
PAST SALE,November-12-2014,Single Family Residential,666 MANDANA Blvd,Oakland,CA,94610-2323,1460000,4,3.5,Crocker Hghlands,2766,5000,1918,941,528,,Sold,,,http://www.redfin.com/CA/Oakland/666-Mandana-Blvd-94610/home/1605856,EBRD/CCAR/Bay East,40674620,N,Y,37.8107123,-122.2384394
PAST SALE,June-30-2014,Single Family Residential,759 SANTA RAY Ave,Oakland,CA,94610-1736,1120000,4,3.0,Crocker Hghlands,2315,3296,1925,1076,484,,Sold,,,http://www.redfin.com/CA/Oakland/759-Santa-Ray-Ave-94610/home/1687910,EBRD/CCAR/Bay East,40657738,N,Y,37.8118964,-122.2346703
PAST SALE,May-7-2015,Single Family Residential,697 CALMAR Ave,Oakland,CA,94610,1595000,4,2.5,Crocker,2344,9650,1910,765,680,,Sold,,,http://www.redfin.com/CA/Oakland/697-Calmar-Ave-94610/home/527030,EBRD/CCAR/Bay East,40693896,N,Y,37.8121609,-122.2379819
PAST SALE,October-16-2015,Single Family Residential,3908 LAKESHORE Ave,Oakland,CA,94610,1380000,4,2.0,Upper Lakeshore,2185,4928,1918,603,632,,Sold,,,http://www.redfin.com/CA/Oakland/3908-Lakeshore-Ave-94610/home/676675,EBRD/CCAR/Bay East,40713401,N,Y,37.8154664,-122.2372549
PAST SALE,,Single Family Residential,825 Calmar Ave,Oakland,CA,94610,1100000,6,4.0,,2644,7700,1919,,416,,,,,http://www.redfin.com/CA/Oakland/825-Calmar-Ave-94610/home/1687974,,,N,Y,37.8131344,-122.2324855
PAST SALE,April-27-2016,Single Family Residential,678 Walavista Ave,Oakland,CA,94610,1500000,4,3.0,Oakland,1882,4940,1922,409,797,,Sold,,,http://www.redfin.com/CA/Oakland/678-Walavista-Ave-94610/home/1542508,San Francisco MLS,443784,N,Y,37.8146289,-122.2359221
PAST SALE,April-25-2016,Single Family Residential,1260 TRESTLE GLEN Rd,Oakland,CA,94610,1430000,3,2.0,Crocker Hghlands,1768,8568,1926,411,809,16,Sold,,,http://www.redfin.com/CA/Oakland/1260-Trestle-Glen-Rd-94610/home/1727367,EBRD/CCAR/Bay East,40737703,N,Y,37.8077625,-122.2295557
PAST SALE,,Single Family Residential,866 Alma Pl,Oakland,CA,94610,950000,4,3.0,,2160,5656,1956,,440,,,,,http://www.redfin.com/CA/Oakland/866-Alma-Pl-94610/home/536152,,,N,Y,37.8061587,-122.2338364
PAST SALE,November-18-2014,Single Family Residential,1735 TRESTLE GLEN Rd,Oakland,CA,94610-1845,1130000,3,2.0,Crocker Hghlands,2900,20628,1979,935,390,,Sold,,,http://www.redfin.com/CA/Oakland/1735-Trestle-Glen-Rd-94610/home/1458090,EBRD/CCAR/Bay East,40675078,N,Y,37.8131933,-122.2206405
PAST SALE,December-22-2016,Single Family Residential,1453 Barrows Rd,Oakland,CA,94610,1255000,4,2.5,Crocker Hghlands,2447,4104,1930,170,513,15,Sold,,,http://www.redfin.com/CA/Oakland/1453-Barrows-Rd-94610/home/1286911,EBRD/CCAR/Bay East,40761473,N,Y,37.8085483,-122.2254544
PAST SALE,January-27-2017,Single Family Residential,839 Mandana Blvd,OAKLAND,CA,94610,1325000,5,3.0,OAKLAND,2248,5000,1923,134,589,175,Sold,,,http://www.redfin.com/CA/Oakland/839-Mandana-Blvd-94610/home/1586486,MLSListings,ML81625675,N,Y,37.8116462,-122.2313587
PAST SALE,November-23-2016,Single Family Residential,1544 Trestle Glen Rd,Oakland,CA,94610,1200000,4,2.5,Crocker Hghlands,2094,5428,1929,199,573,,Sold,,,http://www.redfin.com/CA/Oakland/1544-Trestle-Glen-Rd-94610/home/1163863,EBRD/CCAR/Bay East,40763053,Y,Y,37.8105067,-122.223743
PAST SALE,May-18-2015,Condo/Co-op,742 Wesley Way Unit 2C,Oakland,CA,94610,600000,1,1.0,Lakeshore/Grand,900,,1981,754,667,400,Sold,,,http://www.redfin.com/CA/Oakland/742-Wesley-Way-94610/unit-2C/home/535741,EBRD/CCAR/Bay East,40692759,N,Y,37.8101295,-122.2431146
PAST SALE,November-4-2016,Single Family Residential,955 GROSVENOR Pl,Oakland,CA,94610,1550000,4,3.0,Crocker Hghlands,2595,5000,1931,218,597,13,Sold,,,http://www.redfin.com/CA/Oakland/955-Grosvenor-Pl-94610/home/1981059,EBRD/CCAR/Bay East,40753731,N,Y,37.8079047,-122.2311385
PAST SALE,April-24-2015,Single Family Residential,950 LONGRIDGE Rd,Oakland,CA,94610,1750000,4,3.5,Crocker Hghlands,3707,7743,1937,778,472,170,Sold,,,http://www.redfin.com/CA/Oakland/950-Longridge-Rd-94610/home/1774127,EBRD/CCAR/Bay East,40693078,N,Y,37.8100319,-122.232921
