SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-6-2015,Single Family Residential,853 42ND St,Oakland,CA,94608,605000,2,1.0,Oakland,941,3045,1924,582,643,,Sold,,,http://www.redfin.com/CA/Oakland/853-42nd-St-94608/home/528002,EBRD/CCAR/Bay East,40715828,N,Y,37.8320249,-122.2724073
PAST SALE,October-28-2016,Condo/Co-op,1001 46th St #503,Oakland,CA,94608,550000,1,1.5,Emeryville Borde,1185,,2008,225,464,388,Sold,,,http://www.redfin.com/CA/Emeryville/1001-46th-St-94608/unit-503/home/35654410,EBRD/CCAR/Bay East,40755438,N,Y,37.835349,-122.276275
PAST SALE,December-7-2016,Single Family Residential,860 46th St,Oakland,CA,94608,1508000,4,3.0,Nobe,2259,3600,2016,185,668,,Sold,,,http://www.redfin.com/CA/Oakland/860-46th-St-94608/home/529069,EBRD/CCAR/Bay East,40761280,N,Y,37.8351431,-122.2716066
PAST SALE,January-19-2016,Condo/Co-op,1001 46TH St Unit 515A,Emeryville,CA,94608,625000,1,2.0,The Triangle,1463,,2008,508,427,414,Sold,,,http://www.redfin.com/CA/Emeryville/1001-46th-St-94608/unit-515A/home/101650053,EBRD/CCAR/Bay East,40718647,N,Y,37.835349,-122.276275
PAST SALE,February-24-2016,Condo/Co-op,574 48th St #203,Oakland,CA,94609,425000,1,1.0,Temescal,,,2007,472,,380,Sold,,,http://www.redfin.com/CA/Oakland/574-48th-St-94609/unit-203/home/12115991,EBRD/CCAR/Bay East,40727388,N,Y,37.835551,-122.2647446
PAST SALE,July-10-2014,Single Family Residential,368 50TH St,Oakland,CA,94609-2204,961000,2,1.0,Temescal,1269,5998,1912,1066,757,,Sold,,,http://www.redfin.com/CA/Oakland/368-50th-St-94609/home/528609,EBRD/CCAR/Bay East,40662479,N,Y,37.8358092,-122.2565328
PAST SALE,October-25-2016,Single Family Residential,825 41st St,Oakland,CA,94608,685000,3,2.0,Oakland,1141,,1924,228,600,,Sold,,,http://www.redfin.com/CA/Oakland/825-41st-St-94608/home/528232,EBRD/CCAR/Bay East,40756207,N,Y,37.831016,-122.2715989
PAST SALE,,Multi-Family (2-4 Unit),721 40th St,Oakland,CA,94609,1150000,6,17.0,,10581,5000,1924,,109,,,,,http://www.redfin.com/CA/Oakland/721-40th-St-94609/home/1562501,,,N,Y,37.8298262,-122.2703323
PAST SALE,July-7-2015,Single Family Residential,3710 MARTIN LUTHER KING JR Way,Oakland,CA,94609,415000,3,1.0,Oakland,1118,3125,1912,704,371,,Sold,,,http://www.redfin.com/CA/Oakland/3710-Martin-Luther-King-Junior-Way-94609/home/1515786,EBRD/CCAR/Bay East,40691715,N,Y,37.8265062,-122.2689871
PAST SALE,,Single Family Residential,700 44th St,Oakland,CA,94609,500000,2,2.0,,1182,5000,1924,,423,,,,,http://www.redfin.com/CA/Oakland/700-44th-St-94609/home/1476262,,,N,Y,37.833185,-122.2685925
PAST SALE,June-20-2014,Single Family Residential,340 49TH St,Oakland,CA,94609-2239,676550,2,1.0,Temescal,1080,3630,1910,1086,626,,Sold,,,http://www.redfin.com/CA/Oakland/340-49th-St-94609/home/529031,EBRD/CCAR/Bay East,40654498,N,Y,37.8345644,-122.255067
PAST SALE,,Single Family Residential,479 Clifton St,Oakland,CA,94618,900000,2,1.0,,1040,3600,1890,,865,,,,,http://www.redfin.com/CA/Oakland/479-Clifton-St-94618/home/1986418,,,N,Y,37.840331,-122.2579709
PAST SALE,July-31-2015,Condo/Co-op,4220 SHAFTER Ave,Oakland,CA,94609,440000,1,1.0,Temescal,548,,1922,680,803,155,Sold,,,http://www.redfin.com/CA/Oakland/4220-Shafter-Ave-94609/home/1415241,EBRD/CCAR/Bay East,40706264,N,Y,37.831474,-122.258626
PAST SALE,November-10-2016,Single Family Residential,4184 MANILA Ave,Oakland,CA,94609,1080000,2,2.0,Temescal,1143,3500,1912,212,945,,Sold,,,http://www.redfin.com/CA/Oakland/4184-Manila-Ave-94609/home/527982,EBRD/CCAR/Bay East,40759873,N,Y,37.8307919,-122.2568314
PAST SALE,,Multi-Family (2-4 Unit),4121 Lusk St,Oakland,CA,94608,414500,5,4.0,,3545,17399,1945,,117,,,,,http://www.redfin.com/CA/Oakland/4121-Lusk-St-94608/home/1653904,,,N,Y,37.8317146,-122.2719596
PAST SALE,,Single Family Residential,384 42nd St,Oakland,CA,94609,229500,2,2.0,,1104,4017,1920,,208,,,,,http://www.redfin.com/CA/Oakland/384-42nd-St-94609/home/1570626,,,N,Y,37.8312747,-122.2586714
PAST SALE,July-29-2016,Multi-Family (2-4 Unit),544 43rd St,Oakland,CA,94609,900000,6,4.0,Temescal,2482,2500,1903,316,363,,Sold,,,http://www.redfin.com/CA/Oakland/544-43rd-St-94609/home/528286,EBRD/CCAR/Bay East,40743758,N,Y,37.8319821,-122.2650455
PAST SALE,December-4-2015,Condo/Co-op,3778 Ruby St,Oakland,CA,94609,550000,2,1.0,Temescal,935,5000,1904,554,588,145,Sold,,,http://www.redfin.com/CA/Oakland/3778-Ruby-St-94609/home/12115866,EBRD/CCAR/Bay East,40718505,N,Y,37.826257,-122.262044
PAST SALE,,Condo/Co-op,3774 Ruby St,Oakland,CA,94609,610000,1,1.0,,1032,,1904,,591,,,,,http://www.redfin.com/CA/Oakland/3774-Ruby-St-94609/home/12116384,,,N,Y,37.826257,-122.262044
PAST SALE,December-12-2016,Single Family Residential,4409 West St,Oakland,CA,94608,695500,2,1.0,Oakland,1022,3200,1910,180,681,,Sold,,,http://www.redfin.com/CA/Oakland/4409-West-St-94608/home/1464650,EBRD/CCAR/Bay East,40762446,N,Y,37.8336514,-122.2704054
PAST SALE,June-17-2015,Townhouse,3904 RUBY St #2,Oakland,CA,94609,751500,2,2.0,Temescal,1343,6000,2008,724,560,207,Sold,,,http://www.redfin.com/CA/Oakland/3904-Ruby-St-94609/unit-2/home/22646093,EBRD/CCAR/Bay East,40697622,N,Y,37.8277689,-122.2619076
