SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-18-2014,Single Family Residential,1025 Galvin St,Oakland,CA,94602,780000,3,2.0,Oakland,1779,3920,1920,1058,438,,Sold,,,http://www.redfin.com/CA/Oakland/1025-Galvin-St-94602/home/536039,San Francisco MLS,419849,N,Y,37.8097693,-122.222108
PAST SALE,April-11-2017,Single Family Residential,4622 Edgewood Ave,Oakland,CA,94602,790000,3,1.5,Upper Glenview,,4000,1918,60,,,Sold,,,http://www.redfin.com/CA/Oakland/4622-Edgewood-Ave-94602/home/2013556,EBRD/CCAR/Bay East,40771542,N,Y,37.810158,-122.2178609
PAST SALE,July-3-2014,Single Family Residential,1345 EL CENTRO Ave,Oakland,CA,94602-1817,752000,3,1.0,Glenview,1597,4900,1922,1073,471,,Sold,,,http://www.redfin.com/CA/Oakland/1345-El-Centro-Ave-94602/home/1957137,EBRD/CCAR/Bay East,40659113,N,Y,37.8077236,-122.2175357
PAST SALE,,Single Family Residential,1409 Excelsior Ave,Oakland,CA,94602,700000,3,1.0,,1204,3640,1923,,581,,,,,http://www.redfin.com/CA/Oakland/1409-Excelsior-Ave-94602/home/535543,,,N,Y,37.802578,-122.2283938
PAST SALE,October-1-2015,Single Family Residential,1200 EL CENTRO Ave,Oakland,CA,94602,810000,2,1.5,Glenview,1281,2914,1918,618,632,,Sold,,,http://www.redfin.com/CA/Oakland/1200-El-Centro-Ave-94602/home/1871723,EBRD/CCAR/Bay East,40712310,N,Y,37.8097427,-122.2183389
PAST SALE,October-16-2015,Single Family Residential,1151 EL CENTRO Ave,Oakland,CA,94602,900000,3,2.0,Glenview,1985,4400,1918,603,453,,Sold,,,http://www.redfin.com/CA/Oakland/1151-El-Centro-Ave-94602/home/1164617,EBRD/CCAR/Bay East,40715191,N,Y,37.810086,-122.219199
PAST SALE,July-16-2015,Single Family Residential,1307 EL CENTRO Ave,Oakland,CA,94602,1250000,4,2.0,Glenview,2251,4000,1915,695,555,,Sold,,,http://www.redfin.com/CA/Oakland/1307-El-Centro-Ave-94602/home/1654418,EBRD/CCAR/Bay East,40701980,N,Y,37.8087377,-122.2181779
PAST SALE,,Multi-Family (2-4 Unit),4028 Canon Ave,Oakland,CA,94602,905000,9,4.0,,3160,9630,1918,,286,,,,,http://www.redfin.com/CA/Oakland/4028-Canon-Ave-94602/home/1306724,,,N,Y,37.804418,-122.216929
PAST SALE,July-11-2016,Multi-Family (2-4 Unit),2006 E 29th St,Oakland,CA,94606,770000,6,4.0,Oakland,3242,5320,1922,334,238,,Sold,,,http://www.redfin.com/CA/Oakland/2006-E-29th-St-94606/home/834387,EBRD/CCAR/Bay East,40730852,N,Y,37.7969429,-122.2291773
PAST SALE,November-7-2014,Single Family Residential,4614 BENEVIDES Ave,Oakland,CA,94602-1816,702000,3,2.0,Glenview Dist.,1558,2849,1925,946,451,,Sold,,,http://www.redfin.com/CA/Oakland/4614-Benevides-Ave-94602/home/1936553,EBRD/CCAR/Bay East,40675365,N,Y,37.8080128,-122.2165185
