SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-29-2015,Single Family Residential,454 59th St,Oakland,CA,94609-1504,1250000,2,2.0,Lower Rockridge,1614,3600,1911,590,774,,Sold,,,http://www.redfin.com/CA/Oakland/454-59th-St-94609/home/1952047,EBRD/CCAR/Bay East,40715727,N,Y,37.8454865,-122.2589395
PAST SALE,July-31-2015,Single Family Residential,656 59TH St,Oakland,CA,94609,950000,3,2.0,Temescal,1438,2974,1912,680,661,,Sold,,,http://www.redfin.com/CA/Oakland/656-59th-St-94609/home/530776,EBRD/CCAR/Bay East,40703709,N,Y,37.8444103,-122.2672857
PAST SALE,December-3-2014,Multi-Family (2-4 Unit),6209 Canning St,Oakland,CA,94609-1318,950000,4,3.0,Lwr Rockridge,2262,5000,1953,920,420,,Sold,,,http://www.redfin.com/CA/Oakland/6209-Canning-St-94609/home/1586975,EBRD/CCAR/Bay East,40678614,N,Y,37.8482983,-122.260044
PAST SALE,July-16-2015,Single Family Residential,412 North,Oakland,CA,94609,1100000,2,1.0,Rockridge,1165,3300,1912,695,944,,Sold,,,http://www.redfin.com/CA/Oakland/412-North-St-94609/home/1832663,EBRD/CCAR/Bay East,40701560,N,Y,37.8500634,-122.2572965
PAST SALE,,Single Family Residential,620 Poirier St,Oakland,CA,94609,617500,2,1.0,,1094,3952,1923,,564,,,,,http://www.redfin.com/CA/Oakland/620-Poirier-St-94609/home/530549,,,N,Y,37.847406,-122.2662083
PAST SALE,January-6-2017,Single Family Residential,650 63Rd St,Oakland,CA,94609,1220000,4,2.0,Nobe,1870,3744,1911,155,652,,Sold,,,http://www.redfin.com/CA/Oakland/650-63rd-St-94609/home/1715496,EBRD/CCAR/Bay East,40762833,Y,Y,37.8487215,-122.2672817
PAST SALE,October-4-2016,Condo/Co-op,6388 Dana St,Oakland,CA,94609,485000,1,1.0,Lower Rockridge,714,3636,1947,249,679,200,Sold,,,http://www.redfin.com/CA/Oakland/6388-Dana-St-94609/home/12118393,EBRD/CCAR/Bay East,40750806,N,Y,37.8502622,-122.2582307
PAST SALE,June-25-2015,Multi-Family (2-4 Unit),5796 Vicente,Oakland,CA,94609-1750,975000,7,3.5,Oakland,3997,5544,1957,716,244,,Sold,,,http://www.redfin.com/CA/Oakland/5796-Vicente-St-94609/home/659336,EBRD/CCAR/Bay East,40704811,N,Y,37.8441962,-122.2597234
PAST SALE,October-27-2014,Single Family Residential,480 58th St,Oakland,CA,94609-1541,1050000,4,3.0,Lwr Rockridge,1900,3500,1910,957,553,,Sold,,,http://www.redfin.com/CA/Oakland/480-58th-St-94609/home/1910398,EBRD/CCAR/Bay East,40674288,N,Y,37.8446479,-122.2599524
PAST SALE,September-15-2016,Multi-Family (2-4 Unit),474 Mcauley St,Oakland,CA,94609,764500,4,3.0,Oakland,1914,3500,1913,268,399,,Sold,,,http://www.redfin.com/CA/Oakland/474-McAuley-St-94609/home/531498,San Francisco MLS,447778,N,Y,37.8460778,-122.2600591
PAST SALE,September-27-2016,Single Family Residential,5735 VICENTE St,Oakland,CA,94609,1102500,2,2.0,Lower Rockridge,1649,7854,1917,256,669,,Sold,,,http://www.redfin.com/CA/Oakland/5735-Vicente-St-94609/home/771493,EBRD/CCAR/Bay East,40754655,N,Y,37.8434844,-122.2603841
PAST SALE,November-23-2016,Single Family Residential,785 65th St,Oakland,CA,94609,840000,3,2.0,North Oakland,1458,4800,1913,199,576,,Sold,,,http://www.redfin.com/CA/Oakland/785-65th-St-94609/home/531654,EBRD/CCAR/Bay East,40762743,N,Y,37.8497996,-122.2681276
PAST SALE,August-21-2014,Multi-Family (2-4 Unit),689 66TH St,Oakland,CA,94609-1003,430000,2,2.0,Oakland,1357,3956,1940,1024,317,,Sold,,,http://www.redfin.com/CA/Oakland/689-66th-St-94609/home/1286308,EBRD/CCAR/Bay East,40664729,N,Y,37.8514489,-122.2655708
PAST SALE,,Multi-Family (2-4 Unit),650 Alcatraz Ave,Oakland,CA,94609,1750000,9,9.0,,5190,4800,1951,,337,,,,,http://www.redfin.com/CA/Oakland/650-Alcatraz-Ave-94609/home/531364,,,N,Y,37.8499926,-122.2640408
PAST SALE,July-7-2016,Single Family Residential,536 59TH St,Oakland,CA,94609,825000,2,1.0,Lower Rockridge,1140,4455,1922,338,724,,Sold,,,http://www.redfin.com/CA/Oakland/536-59th-St-94609/home/1680246,EBRD/CCAR/Bay East,40748116,N,Y,37.8450683,-122.2627502
PAST SALE,November-2-2016,Single Family Residential,674 65th St,Oakland,CA,94609,800000,3,1.0,Oak/Berk Border,1301,1301,1911,220,615,,Sold,,,http://www.redfin.com/CA/Oakland/674-65th-St-94609/home/1799529,EBRD/CCAR/Bay East,40755175,N,Y,37.8506205,-122.265045
