SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),9 Linda Ave,Piedmont,CA,94611,550000,2,2.0,,1425,4350,1902,,386,,,,,http://www.redfin.com/CA/Piedmont/9-Linda-Ave-94611/home/1364761,,,N,Y,37.82687,-122.251042
PAST SALE,March-11-2016,Condo/Co-op,4101 Howe St #101,Oakland,CA,94611-5149,610000,2,2.0,Piedmont Avenue,1022,,1966,456,597,288,Sold,,,http://www.redfin.com/CA/Oakland/4101-Howe-St-94611/unit-101/home/549375,EBRD/CCAR/Bay East,40729279,N,Y,37.827435,-122.253259
PAST SALE,October-14-2014,Condo/Co-op,4099 Howe St #103,Oakland,CA,94611-5211,430000,2,1.0,Piedmont Avenue,783,,1973,970,549,240,Sold,,,http://www.redfin.com/CA/Oakland/4099-Howe-St-94611/unit-103/home/527489,EBRD/CCAR/Bay East,40672754,N,Y,37.8270775,-122.2536016
PAST SALE,June-4-2015,Single Family Residential,4195 MONTGOMERY St,Oakland,CA,94611,1375000,4,2.0,Piedmont Avenue,1929,2700,1916,737,713,,Sold,,,http://www.redfin.com/CA/Oakland/4195-Montgomery-St-94611/home/527491,EBRD/CCAR/Bay East,40695670,N,Y,37.8287356,-122.2525765
PAST SALE,June-24-2014,Condo/Co-op,1 Kelton Ct Unit 1J,Oakland,CA,94611,345000,1,1.0,Piedmont Avenue,720,49658,1974,1082,479,388,Sold,,,http://www.redfin.com/CA/Oakland/1-Kelton-Ct-94611/unit-1J/home/1688078,EBRD/CCAR/Bay East,40657684,N,Y,37.8243896,-122.2508859
PAST SALE,February-16-2016,Condo/Co-op,1 KELTON Ct Unit 4K,Oakland,CA,94611,450000,1,1.0,Piedmont Avenue,720,49658,1974,480,625,399,Sold,,,http://www.redfin.com/CA/Oakland/1-Kelton-Ct-94611/unit-4K/home/1871332,EBRD/CCAR/Bay East,40725455,N,Y,37.8243896,-122.2508859
PAST SALE,March-20-2015,Condo/Co-op,4099 Howe #204,Oakland,CA,94611,285000,0,1.0,Oakland,524,,1973,813,544,288,Sold,,,http://www.redfin.com/CA/Oakland/4099-Howe-St-94611/unit-204/home/1903822,EBRD/CCAR/Bay East,40687771,N,Y,37.8270775,-122.2536016
PAST SALE,May-4-2015,Condo/Co-op,1 Kelton Ct Unit 7J,Oakland,CA,94611,400000,1,1.0,Piedmont Avenue,720,49845,1974,768,556,376,Sold,,,http://www.redfin.com/CA/Oakland/1-Kelton-Ct-94611/unit-7J/home/1969946,EBRD/CCAR/Bay East,40691431,N,Y,37.8243896,-122.2508859
PAST SALE,December-13-2016,Condo/Co-op,1 Kelton Ct Unit 1H,Oakland,CA,94611,465000,1,1.0,Kelton Court,720,49845,1974,179,646,406,Sold,,,http://www.redfin.com/CA/Oakland/1-Kelton-Ct-94611/unit-1H/home/528432,EBRD/CCAR/Bay East,40762193,N,Y,37.8243896,-122.2508859
PAST SALE,September-13-2016,Condo/Co-op,4324 B Montgomery St,Oakland,CA,94611,758000,3,2.0,Oakland,1058,,1904,270,716,300,Sold,,,http://www.redfin.com/CA/Oakland/4324-Montgomery-St-94611/home/108306119,San Francisco MLS,448054,N,Y,37.8305542,-122.2499756
