$/SQUARE FEET,ADDRESS,BATHS,BEDS,CITY,DAYS ON MARKET,FAVORITE,HOA/MONTH,INTERESTED,LATITUDE,LOCATION,LONGITUDE,LOT SIZE,MLS#,NEXT OPEN HOUSE END TIME,NEXT OPEN HOUSE START TIME,PRICE,PROPERTY TYPE,SALE TYPE,SOLD DATE,SOURCE,SQUARE FEET,STATE,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),YEAR BUILT,ZIP,chabot,crocker_highlands,emerson,glenview,peralta,piedmont,days_ago,walkscore
618.0,1673 Miami Ct,1.0,2.0,Oakland,349.0,N,,Y,37.8008155,Lower Glenview,-122.2220907,2820.0,40739808,,,650000,Single Family Residential,PAST SALE,June-26-2016,EBRD/CCAR/Bay East,1051.0,CA,Sold,http://www.redfin.com/CA/Oakland/1673-Miami-Ct-94602/home/1929878,1920.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,349,87
416.0,1363 E 36TH St,2.0,3.0,Oakland,257.0,N,,Y,37.802179,Glenview,-122.229621,3610.0,40749463,,,715000,Single Family Residential,PAST SALE,September-26-2016,EBRD/CCAR/Bay East,1720.0,CA,Sold,http://www.redfin.com/CA/Oakland/1363-E-36th-St-94602/home/535490,1914.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,257,76
569.0,3533 BRIGHTON Ave,1.5,3.0,Oakland,259.0,Y,,Y,37.8018962,Glenview,-122.2268707,3200.0,40753238,,,795000,Single Family Residential,PAST SALE,September-24-2016,EBRD/CCAR/Bay East,1398.0,CA,Sold,http://www.redfin.com/CA/Oakland/3533-Brighton-Ave-94602/home/1757244,1925.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,259,76
776.0,1624 Wellington St,1.0,2.0,Oakland,372.0,N,,Y,37.805843625,Glenview,-122.2176564,2408.0,40738484,,,695000,Single Family Residential,PAST SALE,June-3-2016,EBRD/CCAR/Bay East,896.0,CA,Sold,http://www.redfin.com/CA/Oakland/1624-Wellington-St-94602/home/536082,1925.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,372,77
919.0,3951 Waterhouse Rd,2.0,2.0,Oakland,29.0,Y,,Y,37.8070479,Oakmore,-122.2135499,10292.0,40777113,,,1280711,Single Family Residential,PAST SALE,May-12-2017,EBRD/CCAR/Bay East,1394.0,CA,Sold,http://www.redfin.com/CA/Oakland/3951-Waterhouse-Rd-94602/home/1224009,1937.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,29,70
432.0,3915 Everett Ave,2.0,4.0,Oakland,247.0,N,,Y,37.8032476,Glenview,-122.218853,4000.0,40757327,,,675000,Single Family Residential,PAST SALE,October-6-2016,EBRD/CCAR/Bay East,1564.0,CA,Sold,http://www.redfin.com/CA/Oakland/3915-Everett-Ave-94602/home/1362455,1952.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,247,85
671.0,4127 WOODRUFF Ave,1.5,3.0,Oakland,402.0,Y,,Y,37.8062984,Glenview,-122.2214308,4200.0,40735564,,,1230000,Single Family Residential,PAST SALE,May-4-2016,EBRD/CCAR/Bay East,1832.0,CA,Sold,http://www.redfin.com/CA/Oakland/4127-Woodruff-Ave-94602/home/1855578,1920.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,402,79
564.0,1460 EXCELSIOR Ave,2.0,2.0,Oakland,155.0,N,,Y,37.8027003,Glenview,-122.2267491,3040.0,40756882,,,716500,Single Family Residential,PAST SALE,January-6-2017,EBRD/CCAR/Bay East,1271.0,CA,Sold,http://www.redfin.com/CA/Oakland/1460-Excelsior-Ave-94602/home/1831161,1920.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,155,76
583.0,4409 EVANS Ave,1.5,3.0,Oakland,186.0,N,,Y,37.8078324,Glenview,-122.2195971,4400.0,40757638,,,853000,Single Family Residential,PAST SALE,December-6-2016,EBRD/CCAR/Bay East,1462.0,CA,Sold,http://www.redfin.com/CA/Oakland/4409-Evans-Ave-94602/home/1376239,1920.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,186,74
557.0,3533 GLEN PARK Rd,1.0,2.0,Oakland,302.0,N,,Y,37.8016753,Glenview,-122.2260456,3536.0,40749058,,,695000,Single Family Residential,PAST SALE,August-12-2016,EBRD/CCAR/Bay East,1247.0,CA,Sold,http://www.redfin.com/CA/Oakland/3533-Glen-Park-Rd-94602/home/1816656,1930.0,94602,0.0,0.0,0.0,1.0,0.0,0.0,302,78
